,ID,제품명,와이너리,종류,평점,가격,노트,노트2,상세
113,14541891,Ungeheuer GG 2015,Von Winning,White wine,4.3,93108,,,https://www.vivino.com/de-von-winning-ungeheuer-gg/w/2639855?year=2015&price_id=14541891
114,11859061,Cornish Point Pinot Noir 2016,Felton Road,Red wine,4.3,132272,,,https://www.vivino.com/felton-road-cornish-point-pinot-noir/w/2054916?year=2016&price_id=11859061
115,30000399,Excelsior Pinot Noir 2017,Carrick,Red wine,4.3,77804,,,https://www.vivino.com/carrick-wines-excelsior-pinot-noir/w/1524446?year=2017&price_id=30000399
116,31354653,Chateau de Chassagne-Montrachet Rouge 2015,Bader-Mimeur,Red wine,4.3,120000,,,https://www.vivino.com/bader-mimeur-chateau-de-chassagne-montrachet-rouge/w/3546880?year=2015&price_id=31354653
117,19083768,Cornish Point Pinot Noir 2018,Felton Road,Red wine,4.3,124491,,,https://www.vivino.com/felton-road-cornish-point-pinot-noir/w/2054916?year=2018&price_id=19083768
118,2895285,Primus Malbec (Primum) 2003,Salentein,Red wine,4.3,29160,,,https://www.vivino.com/salentein-primus-malbec-primum/w/9998?year=2003&price_id=2895285
119,2805029,Romitorio di Santedame Toscana 2000,Ruffino,Red wine,4.3,145798,,,https://www.vivino.com/ruffino-romitorio-di-santedame-toscana/w/1168441?year=2000&price_id=2805029
120,11056152,Sauvignon Blanc 500 2012,Von Winning,White wine,4.3,109308,,,https://www.vivino.com/de-von-winning-sauvignon-blanc-500/w/2041250?year=2012&price_id=11056152
121,33589756,Burn Cottage Vineyard Pinot Noir 2021,Valli,Red wine,4.3,59907,,,https://www.vivino.com/valli-burn-cottage-vineyard-pinot-noir/w/4454596?year=2021&price_id=33589756
122,34207228,Retrospect Pinot Noir 2017,Prophet's Rock,Red wine,4.3,108929,,,https://www.vivino.com/prophet-s-rock-retrospect-pinot-noir/w/4488433?year=2017&price_id=34207228
123,2754705,Baron Edmond 2002,Rupert & Rothschild,Red wine,4.3,83024,,,https://www.vivino.com/rupert-and-rothschild-vignerons-baron-edmond/w/12440?year=2002&price_id=2754705
124,32790405,Douro 2019,Quinta do Noval,Red wine,4.3,111467,,,https://www.vivino.com/quinta-do-noval-douro/w/81401?year=2019&price_id=32790405
125,23948265,Sangiovese Reserve 2019,Heron's Flight,Red wine,4.3,93366,,,https://www.vivino.com/heron-s-flight-sangiovese-reserve/w/2650491?year=2019&price_id=23948265
126,17601321,Pinot Noir 2012,Dom Bella,Red wine,4.3,146608,,,https://www.vivino.com/dom-bella-pinot-noir/w/1949419?year=2012&price_id=17601321
127,26911678,Dreadnought 2019,Man O' War,Red wine,4.3,43567,,,https://www.vivino.com/man-o-war-dreadnought/w/1125553?year=2019&price_id=26911678
128,14650552,Old Vine Shiraz 2004,Kaesler,Red wine,4.3,89099,,,https://www.vivino.com/kaesler-wines-and-vineyard-old-vine-shiraz/w/1627871?year=2004&price_id=14650552
129,31198173,Zen Chardonnay 2020,Tony Bish,White wine,4.3,122935,,,https://www.vivino.com/tony-bish-zen-chardonnay/w/7203338?year=2020&price_id=31198173
130,32785216,Masseri Primitivo 2021,Tenuta Ulisse,Red wine,4.3,34158,,,https://www.vivino.com/tenuta-ulisse-masseri-primitivo/w/11130163?year=2021&price_id=32785216
131,25051529,Gran Corte 2018,Flechas de los Andes,Red wine,4.3,32804,,,https://www.vivino.com/ar-flechas-de-los-andes-gran-corte/w/1154129?year=2018&price_id=25051529
132,18852786,Pinot Noir 2017,Dry River,Red wine,4.3,116710,,,https://www.vivino.com/dry-river-wines-limited-pinot-noir/w/1765935?year=2017&price_id=18852786
133,34102274,The Last Chance Earnscleugh Vineyard Pinot Noir 2020,Two Paddocks,Red wine,4.3,76248,,,https://www.vivino.com/two-paddocks-the-last-chance-earnscleugh-vineyard-pinot-noir/w/1501826?year=2020&price_id=34102274
134,27402778,Châteauneuf-du-Pape 2019,Domaine Bois de Boursan,Red wine,4.3,48728,,,https://www.vivino.com/bois-de-boursan-chateauneuf-du-pape/w/1099139?year=2019&price_id=27402778
135,19160033,Gewürztraminer Alsace Grand Cru Brand 2013,Cave de Turckheim,White wine,4.3,72899,,,https://www.vivino.com/cave-de-turckheim-gewurztraminer-alsace-grand-cru-brand/w/87967?year=2013&price_id=19160033
136,2873630,Beckstoffer Vineyard X Cabernet Sauvignon 2001,Merryvale,Red wine,4.3,147823,,,https://www.vivino.com/merryvale-vineyards-beckstoffer-vineyard-x-cabernet-sauvignon/w/1130233?year=2001&price_id=2873630
137,2754446,Alte Reben Spätburgunder 2003,Bernhard Huber,Red wine,4.3,76949,,,https://www.vivino.com/bernhard-huber-alte-reben-spatburgunder/w/63914?year=2003&price_id=2754446
138,14187782,Homage Syrah 2015,Trinity Hill,Red wine,4.3,127604,,,https://www.vivino.com/trinity-hill-homage-syrah/w/17607?year=2015&price_id=14187782
139,33806162,Waitaki Vineyard Chardonnay 2021,Valli,White wine,4.3,63020,,,https://www.vivino.com/valli-waitaki-vineyard-chardonnay/w/4901000?year=2021&price_id=33806162
140,33589760,Reserve Chardonnay 2020,Takapoto Estate,White wine,4.3,38898,,,https://www.vivino.com/takapoto-estate-reserve-chardonnay/w/6904669?year=2020&price_id=33589760
141,8410481,Château Prieuré La Marzelle Saint-Émilion Grand Cru 2006,Château La Marzelle,Red wine,4.3,76949,,,https://www.vivino.com/scea-chateau-la-marzelle-chateau-prieure-la-marzelle-saint-emilion-grand-cru/w/3907329?year=2006&price_id=8410481
